Date,Amount,Category,Description
01-08-2026,1500,Income,Pocket money
01-08-2026,500.0,Income,
10-07-2025,5000.0,Income,Salary
03-04-2026,150.0,Expense,icecream
08-09-2026,10089.0,Income,
01-09-2026,1567.0,Expense,groceries
17-10-2026,2500.0,Income,Bonus
23-05-2025,2039.8,Expense,stationery
31-03-2025,124.39,Expense,rent
12-08-2025,12000,Income,Side gig
23-07-2025,2112.94,Expense,coffee
14-08-2025,856.23,Expense,groceries
13-06-2025,1040.54,Expense,mobile recharge
09-08-2025,1029.69,Expense,rent
25-01-2026,3000.5,Income,Salary
16-04-2026,2920.15,Expense,bus fare
22-03-2025,2493.33,Expense,taxi
06-01-2026,2122.58,Expense,icecream
09-11-2026,2500,Income,Bonus
14-04-2025,1376.63,Expense,internet bill
16-06-2025,652.24,Expense,restaurant
20-12-2026,1954.67,Expense,taxi
13-10-2026,2000.0,Income,Dividend
24-01-2026,10000.0,Income,Interest
27-02-2025,500.5,Income,Refund
02-10-2025,12000.5,Income,Bonus
03-11-2026,2657.51,Expense,snacks
15-04-2026,1500.0,Income,Side gig
06-07-2026,12000.99,Income,
13-02-2026,2992.06,Expense,mobile recharge
06-06-2026,2274.67,Expense,electricity bill
06-06-2025,2382.48,Expense,coffee
03-09-2026,5000.99,Income,Side gig
15-09-2025,2586.52,Expense,groceries
28-11-2026,2054.68,Expense,stationery
01-10-2025,1040.32,Expense,medicine
22-03-2026,500.5,Income,Side gig
02-07-2025,346.04,Expense,snacks
02-11-2025,1537.76,Expense,fuel
06-06-2025,509.8,Expense,repair
28-06-2026,1808.87,Expense,clothes
20-01-2025,3000.5,Income,Bonus
01-03-2025,12000,Income,Pocket money
13-05-2026,2934.61,Expense,stationery
09-05-2025,7500.0,Income,Gift
25-06-2026,1286.72,Expense,fuel
07-07-2026,2078.91,Expense,water bill
16-11-2025,2024.91,Expense,internet bill
25-03-2026,1370.91,Expense,shopping
19-08-2025,500.0,Income,
14-08-2025,500.0,Income,Pocket money
02-02-2025,240.45,Expense,shopping
13-10-2025,666.28,Expense,mobile recharge
08-08-2026,751.7,Expense,clothes
21-02-2026,1000.99,Income,Interest
10-03-2026,2595.6,Expense,icecream
21-11-2026,1949.15,Expense,icecream
17-02-2026,2407.76,Expense,electricity bill
12-09-2025,10000.99,Income,Freelance work
09-03-2026,7500.0,Income,Pocket money
30-03-2026,2572.22,Expense,electricity bill
21-02-2025,1635.55,Expense,groceries
06-04-2025,2550.63,Expense,movie
21-02-2026,664.83,Expense,bus fare
02-03-2025,500.99,Income,Gift
11-04-2026,10000.99,Income,Freelance work
14-07-2025,500,Income,Interest
28-02-2025,7500.0,Income,Salary
05-06-2026,1500,Income,
11-03-2025,728.56,Expense,electricity bill
07-08-2026,12000,Income,
25-03-2025,1763.51,Expense,gift for friend
20-11-2025,636.65,Expense,water bill
18-11-2025,5000.0,Income,Gift
14-04-2026,1000,Income,Dividend
29-09-2026,2988.41,Expense,rent
05-07-2026,2500.0,Income,Interest
12-03-2025,1127.5,Expense,movie
25-03-2026,2119.51,Expense,taxi
01-11-2026,2013.55,Expense,stationery
03-11-2025,337.65,Expense,mobile recharge
28-09-2025,1000.0,Income,Gift
16-10-2025,2161.31,Expense,fuel
05-12-2026,814.03,Expense,clothes
15-09-2025,2542.93,Expense,rent
12-10-2026,851.74,Expense,groceries
08-12-2025,1922.23,Expense,restaurant
15-06-2025,1668.49,Expense,coffee
29-07-2026,1000.0,Income,Side gig
06-02-2025,1760.05,Expense,mobile recharge
17-03-2026,2500.5,Income,Salary
02-01-2026,2000,Income,Interest
28-07-2026,1236.94,Expense,taxi
08-06-2025,733.11,Expense,movie
01-07-2025,103.62,Expense,insurance
07-12-2025,1252.79,Expense,haircut
12-09-2025,1000.99,Income,Salary
27-04-2026,7500.5,Income,Gift
22-08-2025,2000.99,Income,Interest
13-10-2025,2901.66,Expense,restaurant
